lastname,firstname,party,state,class,phone,assumed,gender,bioid
Alexander,Lamar,R,TN,Class II,(202) 224-4944,2003,M,A000360
Baldwin,Tammy,D,WI,Class I,(202) 224-5653,2013,F,B001230
Barrasso,John,R,WY,Class I,(202) 224-6441,2007,M,B001261
Bennet,Michael F.,D,CO,Class III,(202) 224-5852,2009,M,B001267
Blumenthal,Richard,D,CT,Class III,(202) 224-2823,2011,M,B001277
Blunt,Roy,R,MO,Class III,(202) 224-5721,2011,M,B000575
Booker,Cory A.,D,NJ,Class II,(202) 224-3224,2013,M,B001288
Boozman,John,R,AR,Class III,(202) 224-4843,2011,M,B001236
Brown,Sherrod,D,OH,Class I,(202) 224-2315,2007,M,B000944
Burr,Richard,R,NC,Class III,(202) 224-3154,2005,M,B001135
Cantwell,Maria,D,WA,Class I,(202) 224-3441,2001,F,C000127
Capito,Shelley Moore,R,WV,Class II,(202) 224-6472,2015,F,C001047
Cardin,Benjamin L.,D,MD,Class I,(202) 224-4524,2007,M,C000141
Carper,Thomas R.,D,DE,Class I,(202) 224-2441,2001,M,C000174
Casey,Robert P. Jr.,D,PA,Class I,(202) 224-6324,2007,M,C001070
Cassidy,Bill,R,LA,Class II,(202) 224-5824,2015,M,C001075
Cochran,Thad,R,MS,Class II,(202) 224-5054,1978,M,C000567
Collins,Susan M.,R,ME,Class II,(202) 224-2523,1997,F,C001035
Coons,Christopher A.,D,DE,Class II,(202) 224-5042,2010,M,C001088
Corker,Bob,R,TN,Class I,(202) 224-3344,2007,M,C001071
Cornyn,John,R,TX,Class II,(202) 224-2934,2002,M,C001056
Cortez Masto,Catherine,D,NV,Class III,(202) 224-3542,2017,F,C001113
Cotton,Tom,R,AR,Class II,(202) 224-2353,2015,M,C001095
Crapo,Mike,R,ID,Class III,(202) 224-6142,1999,M,C000880
Cruz,Ted,R,TX,Class I,(202) 224-5922,2013,M,C001098
Daines,Steve,R,MT,Class II,(202) 224-2651,2015,M,D000618
Donnelly,Joe,D,IN,Class I,(202) 224-4814,2013,M,D000607
Duckworth,Tammy,D,IL,Class III,(202) 224-2854,2017,F,D000622
Durbin,Richard J.,D,IL,Class II,(202) 224-2152,1997,M,D000563
Enzi,Michael B.,R,WY,Class II,(202) 224-3424,1997,M,E000285
Ernst,Joni,R,IA,Class II,(202) 224-3254,2015,F,E000295
Feinstein,Dianne,D,CA,Class I,(202) 224-3841,1992,F,F000062
Fischer,Deb,R,NE,Class I,(202) 224-6551,2013,F,F000463
Flake,Jeff,R,AZ,Class I,(202) 224-4521,2013,M,F000444
Franken,Al,D,MN,Class II,(202) 224-5641,2009,M,F000457
Gardner,Cory,R,CO,Class II,(202) 224-5941,2015,M,G000562
Gillibrand,Kirsten E.,D,NY,Class I,(202) 224-4451,2009,F,G000555
Graham,Lindsey,R,SC,Class II,(202) 224-5972,2003,M,G000359
Grassley,Chuck,R,IA,Class III,(202) 224-3744,1981,M,G000386
Harris,Kamala D.,D,CA,Class III,(202) 224-3553,2017,F,H001075
Hassan,Margaret Wood,D,NH,Class III,(202) 224-3324,2017,F,H001076
Hatch,Orrin G.,R,UT,Class I,(202) 224-5251,1977,M,H000338
Heinrich,Martin,D,NM,Class I,(202) 224-5521,2013,M,H001046
Heitkamp,Heidi,D,ND,Class I,(202) 224-2043,2013,F,H001069
Heller,Dean,R,NV,Class I,(202) 224-6244,2011,M,H001041
Hirono,Mazie K.,D,HI,Class I,(202) 224-6361,2013,F,H001042
Hoeven,John,R,ND,Class III,(202) 224-2551,2011,M,H001061
Inhofe,James M.,R,OK,Class II,(202) 224-4721,1994,M,I000024
Isakson,Johnny,R,GA,Class III,(202) 224-3643,2005,M,I000055
Johnson,Ron,R,WI,Class III,(202) 224-5323,2011,M,J000293
Kaine,Tim,D,VA,Class I,(202) 224-4024,2013,M,K000384
Kennedy,John,R,LA,Class III,(202) 224-4623,2017,M,K000393
King,Angus S. Jr.,I,ME,Class I,(202) 224-5344,2013,M,K000383
Klobuchar,Amy,D,MN,Class I,(202) 224-3244,2007,F,K000367
Lankford,James,R,OK,Class III,(202) 224-5754,2015,M,L000575
Leahy,Patrick J.,D,VT,Class III,(202) 224-4242,1975,M,L000174
Lee,Mike,R,UT,Class III,(202) 224-5444,2011,M,L000577
Manchin,Joe III,D,WV,Class I,(202) 224-3954,2010,M,M001183
Markey,Edward J.,D,MA,Class II,(202) 224-2742,2013,M,M000133
McCain,John,R,AZ,Class III,(202) 224-2235,1987,M,M000303
McCaskill,Claire,D,MO,Class I,(202) 224-6154,2007,F,M001170
McConnell,Mitch,R,KY,Class II,(202) 224-2541,1985,M,M000355
Menendez,Robert,D,NJ,Class I,(202) 224-4744,2006,M,M000639
Merkley,Jeff,D,OR,Class II,(202) 224-3753,2009,M,M001176
Moran,Jerry,R,KS,Class III,(202) 224-6521,2011,M,M000934
Murkowski,Lisa,R,AK,Class III,(202) 224-6665,2002,F,M001153
Murphy,Christopher,D,CT,Class I,(202) 224-4041,2013,M,M001169
Murray,Patty,D,WA,Class III,(202) 224-2621,1993,F,M001111
Nelson,Bill,D,FL,Class I,(202) 224-5274,2001,M,N000032
Paul,Rand,R,KY,Class III,(202) 224-4343,2011,M,P000603
Perdue,David,R,GA,Class II,(202) 224-3521,2015,M,P000612
Peters,Gary C.,D,MI,Class II,(202) 224-6221,2015,M,P000595
Portman,Rob,R,OH,Class III,(202) 224-3353,2011,M,P000449
Reed,Jack,D,RI,Class II,(202) 224-4642,1997,M,R000122
Risch,James E.,R,ID,Class II,(202) 224-2752,2009,M,R000584
Roberts,Pat,R,KS,Class II,(202) 224-4774,1997,M,R000307
Rounds,Mike,R,SD,Class II,(202) 224-5842,2015,M,R000605
Rubio,Marco,R,FL,Class III,(202) 224-3041,2011,M,R000595
Sanders,Bernard,I,VT,Class I,(202) 224-5141,2007,M,S000033
Sasse,Ben,R,NE,Class II,(202) 224-4224,2015,M,S001197
Schatz,Brian,D,HI,Class III,(202) 224-3934,2012,M,S001194
Schumer,Charles E.,D,NY,Class III,(202) 224-6542,1999,M,S000148
Scott,Tim,R,SC,Class III,(202) 224-6121,2013,M,S001184
Shaheen,Jeanne,D,NH,Class II,(202) 224-2841,2009,F,S001181
Shelby,Richard C.,R,AL,Class III,(202) 224-5744,1987,M,S000320
Stabenow,Debbie,D,MI,Class I,(202) 224-4822,2001,F,S000770
Strange,Luther,R,AL,Class II,(202) 224-4124,2017,M,S001202
